# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -2831 2 405 66306 45775277 3 ./qcom/qrb4210/adsps.jsn
DUPTYPE_FIRST_OCCURRENCE 3394 4 405 66306 45775231 3 ./qcom/sdm845/Thundercomm/db845c/slpius.jsn
DUPTYPE_WITHIN_SAME_TREE -3394 4 405 66306 45775208 3 ./qcom/sm8250/Thundercomm/RB5/slpius.jsn
DUPTYPE_FIRST_OCCURRENCE 2843 2 513 66306 45775362 3 ./qcom/qcm6490/cdspr.jsn
DUPTYPE_WITHIN_SAME_TREE -2843 4 513 66306 45775285 3 ./qcom/sc8280xp/LENOVO/21BX/cdspr.jsn
DUPTYPE_FIRST_OCCURRENCE 2838 2 513 66306 45775360 3 ./qcom/qcm6490/adspr.jsn
DUPTYPE_WITHIN_SAME_TREE -2838 2 513 66306 45775241 3 ./qcom/x1e80100/adspr.jsn
DUPTYPE_FIRST_OCCURRENCE 2839 2 515 66306 45775366 3 ./qcom/qcm6490/adsps.jsn
DUPTYPE_WITHIN_SAME_TREE -2839 2 515 66306 45775245 3 ./qcom/x1e80100/adsps.jsn
DUPTYPE_FIRST_OCCURRENCE 2841 2 516 66306 45775361 3 ./qcom/qcm6490/battmgr.jsn
DUPTYPE_WITHIN_SAME_TREE -2841 2 516 66306 45775242 3 ./qcom/x1e80100/battmgr.jsn
DUPTYPE_WITHIN_SAME_TREE -2841 4 516 66306 45775284 3 ./qcom/sc8280xp/LENOVO/21BX/battmgr.jsn
DUPTYPE_FIRST_OCCURRENCE 2832 2 555 66306 45775322 3 ./qcom/qcm2290/adspua.jsn
DUPTYPE_WITHIN_SAME_TREE -2832 2 555 66306 45775269 3 ./qcom/qrb4210/adspua.jsn
DUPTYPE_WITHIN_SAME_TREE -2832 2 555 66306 45775203 3 ./qcom/sm8250/adspua.jsn
DUPTYPE_WITHIN_SAME_TREE -2832 2 555 66306 45775224 3 ./qcom/sdm845/adspua.jsn
DUPTYPE_FIRST_OCCURRENCE 2834 2 562 66306 45775324 3 ./qcom/qcm2290/modemr.jsn
DUPTYPE_WITHIN_SAME_TREE -2834 2 562 66306 45775272 3 ./qcom/qrb4210/modemr.jsn
DUPTYPE_FIRST_OCCURRENCE 3239 3 576 66306 45774237 3 ./nvidia/gp107/gr/gpccs_bl.bin
DUPTYPE_WITHIN_SAME_TREE -3239 3 576 66306 45775026 3 ./nvidia/tu102/gr/gpccs_bl.bin
DUPTYPE_WITHIN_SAME_TREE -3239 3 576 66306 45773789 3 ./nvidia/gv100/gr/gpccs_bl.bin
